fips,variable,value
01001,pct_clay,22.7530263583972
01003,pct_clay,18.5160740154322
01005,pct_clay,22.3783429519018
01007,pct_clay,24.109828956342
01009,pct_clay,24.2146779590003
01011,pct_clay,25.9703254480268
01013,pct_clay,22.9033833092623
01015,pct_clay,25.3851900337577
01017,pct_clay,25.1894235619219
01019,pct_clay,25.9748025072523
01021,pct_clay,23.5388859589196
01023,pct_clay,28.860702853964
01025,pct_clay,25.9794718662002
01027,pct_clay,24.6389213117777
01029,pct_clay,23.7203038704064
01031,pct_clay,20.9199987963062
01033,pct_clay,27.5002182297674
01035,pct_clay,21.0465866105618
01037,pct_clay,25.1981117833586
01039,pct_clay,19.4262510061043
01041,pct_clay,20.8892103270066
01043,pct_clay,24.2306976729468
01045,pct_clay,21.0199034600429
01047,pct_clay,30.0881998938506
01049,pct_clay,24.7259723520138
01051,pct_clay,23.0531085779885
01053,pct_clay,19.3502305199199
01055,pct_clay,24.1644177062507
01057,pct_clay,23.4860206297819
01059,pct_clay,25.7486591878921
01061,pct_clay,20.2858499481946
01063,pct_clay,29.2793590543479
01065,pct_clay,32.8135749397761
01067,pct_clay,21.8887456681854
01069,pct_clay,20.0027725514608
01071,pct_clay,26.7836536930138
01073,pct_clay,24.7361780935562
01075,pct_clay,23.5652514497574
01077,pct_clay,27.4437006361234
01079,pct_clay,27.7477751155442
01081,pct_clay,22.7708327221594
01083,pct_clay,27.8365459719249
01085,pct_clay,26.7635076307092
01087,pct_clay,24.4820832402429
01089,pct_clay,27.656840358476
01091,pct_clay,36.2011617965644
01093,pct_clay,24.0651894940974
01095,pct_clay,25.1832669299527
01097,pct_clay,18.7553213320441
01099,pct_clay,21.6955513419302
01101,pct_clay,27.4689863036826
01103,pct_clay,27.1456753949589
01105,pct_clay,34.2499734050634
01107,pct_clay,27.5282682903774
01109,pct_clay,21.1255862121307
01111,pct_clay,24.5709989001258
01113,pct_clay,23.2607408300078
01115,pct_clay,25.3143277892149
01117,pct_clay,26.2861216451118
01119,pct_clay,32.5056736742449
01121,pct_clay,26.74586624688
01123,pct_clay,23.7761106417216
01125,pct_clay,24.5285761643332
01127,pct_clay,23.9833142927315
01129,pct_clay,22.0085493875307
01131,pct_clay,27.5930980320168
01133,pct_clay,24.3861730233412
04001,pct_clay,20.4046775520089
04003,pct_clay,27.3415945257555
